,fit_time,score_time,test_f1_macro,train_f1_macro,test_precision_macro,train_precision_macro,test_f1_micro,train_f1_micro,test_precision_micro,train_precision_micro
0,1.46028733253479,0.01945018768310547,0.8712958549240567,0.9347210889077935,0.871330388498683,0.9347229664558997,0.8712962962962963,0.9347222222222222,0.8712962962962963,0.9347222222222222
1,1.3350269794464111,0.02590465545654297,0.8526924040338879,0.9416648661995741,0.8533935345538513,0.9416771839332748,0.8527777777777777,0.9416666666666667,0.8527777777777777,0.9416666666666667
mean,1.3976571559906006,0.02267742156982422,0.8619941294789724,0.9381929775536838,0.8623619615262672,0.9382000751945873,0.862037037037037,0.9381944444444444,0.862037037037037,0.9381944444444444
