Étape,f1_weighted,f1_micro,f1_macro,accuracy_score,precision_macro,recall_macro,recall_micro,hamming_loss,jaccard_micro,jaccard_macro,jaccard_weighted,roc_auc
Train,0.9185185185185185,0.9185185185185185,0.9185174007873907,0.9185185185185185,0.9185174007873907,0.9185174007873907,0.9185185185185185,0.08148148148148149,0.8493150684931506,0.8493133011974714,0.8493152124950208,0.9185174007873907
Validation,0.868724362452523,0.86875,0.8687357569180684,0.86875,0.8691855919097844,0.8688971456351136,0.86875,0.13125,0.7679558011049724,0.7679361246031531,0.7679183173690066,0.8688971456351136
gap,0.049794156065995465,0.04976851851851849,0.04978164386932238,0.04976851851851849,0.049331808877606353,0.04962025515227719,0.04976851851851849,-0.04976851851851852,0.08135926738817822,0.08137717659431831,0.08139689512601422,0.04962025515227719
évaluation_gap,✅ Bonne généralisation,✅ Bonne généralisation,✅ Bonne généralisation,✅ Bonne généralisation,✅ Bonne généralisation,✅ Bonne généralisation,✅ Bonne généralisation,✅ Bonne généralisation,📊 Écart modéré,📊 Écart modéré,📊 Écart modéré,✅ Bonne généralisation
